0;1;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
34;Sevilla;527.0;2806.0;7531.0;491.0;6992.0;17075.0;6408.0;4268.0;1011.0;1050.0;4270.0;753.0;564.0;1550.0;3737.0;760.0;5662.0;215324.0;16215.0;1218.0;1607.0;13481.0;899.0;176491.0;713.0;8437.0;2209.0;650.0;1284.0;10421.0;160.0;2094.0;52208.0;900.0;1081.0;610.0;5088.0;2993.0;288.0;2963.0;3039.0;1069.0;479892.0;676.0;1299.0;156.0;2746.0;3496.0;1404.0;1833.0;876.0;1065.0
34;Soria;;559.0;43.0;140.0;293.0;38.0;94.0;341.0;288.0;1432.0;526.0;450.0;;52.0;230.0;56.0;96.0;187.0;37.0;374.0;179.0;;550.0;66.0;232.0;54.0;350.0;109.0;92.0;1117.0;;92.0;193.0;792.0;61.0;304.0;17.0;200.0;854.0;185.0;175.0;322.0;90.0;43121.0;467.0;123.0;133.0;344.0;451.0;137.0;1405.0;105.0
34;Tarragona;349.0;1554.0;1026.0;199.0;1819.0;463.0;4180.0;35465.0;843.0;775.0;1440.0;5627.0;;335.0;1020.0;421.0;505.0;598.0;508.0;805.0;8716.0;1010.0;675.0;353.0;4438.0;761.0;997.0;15436.0;380.0;1791.0;;734.0;712.0;1631.0;376.0;492.0;313.0;732.0;751.0;499.0;497.0;165.0;426.0;797.0;352480.0;2750.0;288.0;2993.0;214.0;396.0;2384.0;290.0
34;Teruel;54.0;703.0;149.0;;250.0;;326.0;221.0;63.0;62.0;181.0;3478.0;;;150.0;603.0;110.0;148.0;;162.0;114.0;34.0;772.0;52.0;1121.0;;61.0;129.0;18.0;321.0;;97.0;53.0;154.0;;40.0;;84.0;117.0;103.0;48.0;81.0;41.0;171.0;433.0;24720.0;78.0;5340.0;67.0;18.0;2134.0;
34;Toledo;935.0;4944.0;1180.0;102.0;3258.0;2097.0;1545.0;302.0;455.0;470.0;1972.0;764.0;;3774.0;1435.0;1987.0;7339.0;3540.0;393.0;418.0;126.0;1009.0;1079.0;1071.0;233.0;816.0;817.0;101.0;849.0;18093.0;;1154.0;2552.0;369.0;237.0;320.0;647.0;1869.0;170.0;924.0;485.0;826.0;724.0;133.0;242.0;197.0;116606.0;2510.0;625.0;523.0;204.0;9389.0
34;Valencia/València;17664.0;136410.0;6154.0;1252.0;11545.0;1367.0;25534.0;8695.0;1750.0;2311.0;8907.0;106864.0;154.0;4715.0;6103.0;43873.0;2390.0;5409.0;1190.0;3442.0;4594.0;3916.0;6173.0;1217.0;8471.0;4521.0;4284.0;3830.0;2060.0;17933.0;75.0;8602.0;4673.0;4312.0;1902.0;1387.0;3399.0;3959.0;2407.0;2048.0;3362.0;2332.0;2034.0;2457.0;4847.0;35349.0;2737.0;1084149.0;1518.0;1410.0;4714.0;1875.0
34;Valladolid;169.0;5459.0;1119.0;427.0;8872.0;671.0;1827.0;953.0;1035.0;7249.0;15706.0;781.0;75.0;180.0;2984.0;905.0;1619.0;3696.0;120.0;985.0;332.0;555.0;643.0;1197.0;346.0;259.0;12385.0;79.0;1229.0;7100.0;;939.0;3017.0;922.0;811.0;20062.0;940.0;3548.0;593.0;8893.0;685.0;10516.0;766.0;2053.0;627.0;197.0;741.0;1676.0;163428.0;14091.0;692.0;4778.0
34;Zamora;;382.0;81.0;30.0;997.0;132.0;221.0;196.0;133.0;305.0;656.0;45.0;;;630.0;20.0;210.0;691.0;26.0;192.0;51.0;150.0;60.0;561.0;19.0;;2035.0;40.0;266.0;1749.0;;79.0;370.0;131.0;603.0;505.0;140.0;1061.0;74.0;4271.0;51.0;324.0;109.0;73.0;127.0;;140.0;372.0;2778.0;64052.0;155.0;265.0
34;Zaragoza;335.0;7683.0;1887.0;1287.0;7398.0;929.0;7394.0;9949.0;3088.0;4521.0;11997.0;30943.0;45.0;713.0;3246.0;1179.0;1148.0;4544.0;1041.0;6057.0;5753.0;2032.0;8906.0;1658.0;103436.0;747.0;3225.0;4353.0;1097.0;9297.0;57.0;1363.0;4197.0;12617.0;692.0;1365.0;1566.0;2744.0;8247.0;1290.0;2190.0;1055.0;1275.0;20021.0;65350.0;46665.0;1212.0;9961.0;1264.0;1314.0;233756.0;712.0
34;Ávila;36.0;907.0;144.0;21.0;905.0;206.0;408.0;205.0;80.0;228.0;1021.0;315.0;;51.0;399.0;109.0;506.0;590.0;;58.0;61.0;175.0;184.0;376.0;53.0;100.0;543.0;;168.0;6202.0;;402.0;694.0;48.0;111.0;184.0;158.0;951.0;182.0;3644.0;177.0;3481.0;138.0;285.0;;25.0;608.0;709.0;1221.0;332.0;128.0;42411.0
